2015-08-03 11:37:49,385 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-8.1.16.v20140903
2015-08-03 11:37:50,058 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started SelectChannelConnector@127.0.0.1:52856
2015-08-03 14:42:53,456 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - stopped o.e.j.s.ServletContextHandler{/help,null}
2015-08-04 12:29:16,834 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mvchib:spring:0.0.1-SNAPSHOT @ C:\Users\nikitab\SMS\SMS\pom.xml.
2015-08-04 12:29:23,996 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 12:29:24,049 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-04 12:29:24,064 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-04 12:29:24,065 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nikitab\SMS\SMS\src\test\resources
2015-08-04 12:29:24,101 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SMS/src/main/java
2015-08-04 12:29:24,102 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /SMS/src/main/resources overlaps with sources folder /SMS/src/main/resources
2015-08-04 12:29:24,106 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SMS/src/test/java
2015-08-04 12:29:25,872 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mvchib:spring:0.0.1-SNAPSHOT @ C:\Users\nikitab\SMS\SMS\pom.xml.
2015-08-04 12:29:25,970 [Worker-14] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
